Education_Level,Experience,Projects,Skills,Certifications,Domain,Job Role,Courses,Keywords,Technologies
Master,0-1 years,HR Management,"Communication, Accounting, Customer Support, Excel","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Excel, Accounting, Communication",Excel
PhD,1-3 years,Accounting,"Communication, Accounting, Excel, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Excel, Accounting, Communication",Excel
PhD,1-3 years,"Operations, Market Research, Sales Strategy","Communication, Team Management, Accounting, Salesforce",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Sales Strategy, Market Research, Salesforce, Accounting, Communication, Operations, Team Management",Salesforce
Master,1-3 years,Customer Service,"Team Management, Accounting, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Salesforce, Customer Service, Team Management, Accounting",Salesforce
PhD,3-5 years,Accounting,"Team Management, Salesforce, Communication, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,5+ years,"Market Research, HR Management, Customer Service","Customer Support, Salesforce, Accounting, Excel, Communication",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, HR Management, Market Research, Salesforce, Accounting, Excel, Communication","Salesforce, Excel"
PhD,3-5 years,"HR Management, Market Research, Accounting","Customer Support, Accounting, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, HR Management, Salesforce, Accounting",Salesforce
Master,0-1 years,"Accounting, Market Research","Team Management, Communication, Accounting, Salesforce, Customer Support",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,3-5 years,Customer Service,"Salesforce, Customer Support, Communication, Team Management, Accounting","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Salesforce, Accounting, Communication, Team Management",Salesforce
PhD,3-5 years,Operations,"Communication, Excel, Salesforce, Accounting",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
PhD,1-3 years,"Customer Service, HR Management, Market Research","Team Management, Accounting, Customer Support",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, HR Management, Accounting, Team Management",
Bachelor,1-3 years,"Market Research, Sales Strategy, Operations","Team Management, Salesforce, Excel","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Sales Strategy, Market Research, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
Master,5+ years,Customer Service,"Communication, Team Management, Salesforce, Excel",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Service, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
PhD,1-3 years,"HR Management, Operations, Market Research","Excel, Communication, Customer Support",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Market Research, HR Management, Excel, Communication, Operations",Excel
Master,3-5 years,"Sales Strategy, Market Research","Salesforce, Excel, Communication",Salesforce Certified,Non-IT,Market Research Analyst,Salesforce Training,"Sales Strategy, Market Research, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,0-1 years,"Sales Strategy, Customer Service","Excel, Communication, Salesforce",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Sales Strategy, Customer Service, Salesforce, Excel, Communication","Salesforce, Excel"
PhD,0-1 years,"HR Management, Customer Service, Market Research","Excel, Salesforce, Customer Support, Team Management",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, HR Management, Salesforce, Excel, Team Management","Salesforce, Excel"
PhD,3-5 years,"Sales Strategy, HR Management","Team Management, Salesforce, Customer Support, Excel",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Operations, Customer Service, Sales Strategy","Communication, Excel, Accounting, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Service, Sales Strategy, Excel, Accounting, Communication, Operations, Team Management",Excel
Master,1-3 years,"Accounting, HR Management, Sales Strategy","Customer Support, Accounting, Excel","Excel Advanced, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Excel, Accounting",Excel
Bachelor,5+ years,"Customer Service, HR Management, Accounting","Customer Support, Team Management, Salesforce, Excel, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,3-5 years,"Sales Strategy, HR Management, Accounting","Team Management, Excel, Customer Support, Communication, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Excel, Accounting, Communication, Team Management",Excel
Bachelor,3-5 years,Accounting,"Team Management, Excel, Customer Support, Accounting, Communication",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Excel, Accounting, Communication, Team Management",Excel
Master,0-1 years,"Market Research, HR Management, Operations","Salesforce, Communication, Team Management, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Market Research, Salesforce, Communication, Operations, Team Management",Salesforce
Bachelor,1-3 years,"Sales Strategy, HR Management, Market Research","Team Management, Excel, Customer Support, Salesforce, Accounting",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,5+ years,Operations,"Excel, Communication, Salesforce, Customer Support, Accounting","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,3-5 years,Market Research,"Excel, Accounting, Team Management, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Market Research Analyst,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, Excel, Accounting, Team Management",Excel
Bachelor,0-1 years,"HR Management, Operations","Excel, Customer Support, Communication, Accounting, Team Management",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, HR Management, Excel, Accounting, Communication, Operations, Team Management",Excel
PhD,5+ years,Sales Strategy,"Team Management, Salesforce, Customer Support, Accounting",Salesforce Certified,Non-IT,Business Analyst,Salesforce Training,"Customer Support, Sales Strategy, Salesforce, Accounting, Team Management",Salesforce
Bachelor,1-3 years,Accounting,"Accounting, Customer Support, Team Management, Excel","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Excel, Accounting, Team Management",Excel
Master,3-5 years,"Customer Service, HR Management","Salesforce, Team Management, Customer Support, Communication",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, HR Management, Salesforce, Communication, Team Management",Salesforce
Bachelor,5+ years,"HR Management, Customer Service, Market Research","Customer Support, Accounting, Communication, Salesforce",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, Market Research, HR Management, Salesforce, Accounting, Communication",Salesforce
Master,0-1 years,Accounting,"Communication, Salesforce, Customer Support, Team Management, Excel",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, Salesforce, Accounting, Excel, Communication, Team Management","Salesforce, Excel"
Master,0-1 years,"Accounting, Customer Service","Excel, Communication, Customer Support, Accounting","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Excel, Accounting, Communication",Excel
Bachelor,0-1 years,"HR Management, Market Research","Team Management, Salesforce, Accounting, Customer Support","Excel Advanced, Salesforce Certified",Non-IT,Market Research Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Market Research, HR Management, Salesforce, Accounting, Team Management",Salesforce
PhD,3-5 years,"Market Research, Operations, Sales Strategy","Customer Support, Accounting, Excel, Salesforce, Team Management",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Operations, Team Management","Salesforce, Excel"
Bachelor,5+ years,Customer Service,"Communication, Excel, Accounting, Salesforce","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Service, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
PhD,0-1 years,"Sales Strategy, HR Management, Operations","Team Management, Customer Support, Excel",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Sales Strategy, HR Management, Excel, Operations, Team Management",Excel
Master,0-1 years,"Operations, Customer Service, Accounting","Salesforce, Customer Support, Communication, Excel, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Salesforce, Accounting, Excel, Communication, Operations, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Sales Strategy, Operations, Accounting","Excel, Communication, Team Management, Salesforce, Customer Support","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Communication, Operations, Team Management","Salesforce, Excel"
Master,0-1 years,"Market Research, HR Management","Excel, Communication, Customer Support, Accounting, Team Management",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Customer Support, HR Management, Market Research, Excel, Accounting, Communication, Team Management",Excel
Bachelor,5+ years,HR Management,"Team Management, Excel, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Excel, Team Management, HR Management, Accounting",Excel
PhD,0-1 years,"Customer Service, Market Research","Customer Support, Salesforce, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Customer Support Representative,"Salesforce Training, Customer Service Training","Customer Support, Customer Service, Market Research, Salesforce, Communication",Salesforce
Bachelor,5+ years,Accounting,"Excel, Customer Support, Salesforce, Communication","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,5+ years,Accounting,"Communication, Customer Support, Excel, Salesforce",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Excel, Accounting, Communication","Salesforce, Excel"
Master,1-3 years,Market Research,"Accounting, Team Management, Excel",Customer Service Expert,Non-IT,Market Research Analyst,Customer Service Training,"Excel, Accounting, Team Management, Market Research",Excel
Bachelor,0-1 years,"Customer Service, HR Management","Accounting, Salesforce, Excel, Customer Support, Team Management",Salesforce Certified,Non-IT,Customer Support Representative,Salesforce Training,"Customer Support, Customer Service, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,3-5 years,"Operations, Accounting","Salesforce, Customer Support, Excel, Communication",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Salesforce, Accounting, Excel, Communication, Operations","Salesforce, Excel"
Bachelor,3-5 years,"HR Management, Market Research, Customer Service","Customer Support, Communication, Accounting, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, HR Management, Accounting, Excel, Communication",Excel
Master,0-1 years,"Sales Strategy, Operations, HR Management","Excel, Customer Support, Communication, Salesforce, Accounting",Excel Advanced,Non-IT,Operations Manager,Advanced Excel Course,"Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Accounting, Communication, Operations","Salesforce, Excel"
Master,0-1 years,"Sales Strategy, HR Management, Operations","Excel, Salesforce, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Excel, Operations","Salesforce, Excel"
Bachelor,0-1 years,"Operations, HR Management, Market Research","Team Management, Accounting, Communication, Excel, Customer Support",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, Market Research, HR Management, Accounting, Excel, Communication, Operations, Team Management",Excel
PhD,1-3 years,"Accounting, Market Research","Excel, Accounting, Communication",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Excel, Accounting, Market Research, Communication",Excel
PhD,3-5 years,"Operations, HR Management, Market Research","Excel, Customer Support, Salesforce, Accounting, Team Management",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Market Research, HR Management, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Master,5+ years,"HR Management, Market Research, Sales Strategy","Excel, Accounting, Salesforce, Team Management, Customer Support",Excel Advanced,Non-IT,Market Research Analyst,Advanced Excel Course,"Customer Support, Sales Strategy, Market Research, HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
PhD,0-1 years,"Customer Service, Market Research, Accounting","Salesforce, Customer Support, Communication, Accounting",Excel Advanced,Non-IT,Accountant,Advanced Excel Course,"Customer Support, Customer Service, Market Research, Salesforce, Accounting, Communication",Salesforce
Master,0-1 years,"Sales Strategy, Operations","Team Management, Accounting, Communication","Excel Advanced, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Sales Strategy, Accounting, Communication, Operations, Team Management",
Master,3-5 years,"Operations, HR Management","Excel, Team Management, Customer Support, Communication",Salesforce Certified,Non-IT,Operations Manager,Salesforce Training,"Customer Support, HR Management, Excel, Communication, Operations, Team Management",Excel
Master,5+ years,"Market Research, Accounting, Sales Strategy","Salesforce, Accounting, Customer Support, Excel, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
Master,5+ years,HR Management,"Excel, Accounting, Team Management, Salesforce","Excel Advanced, Customer Service Expert",Non-IT,Business Analyst,"Advanced Excel Course, Customer Service Training","HR Management, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Bachelor,3-5 years,"Market Research, Accounting, HR Management","Communication, Accounting, Salesforce, Team Management, Customer Support","Customer Service Expert, Excel Advanced",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Customer Support, HR Management, Market Research, Salesforce, Accounting, Communication, Team Management",Salesforce
Bachelor,0-1 years,"HR Management, Operations","Excel, Customer Support, Salesforce","Salesforce Certified, Excel Advanced",Non-IT,Operations Manager,"Salesforce Training, Advanced Excel Course","Customer Support, HR Management, Salesforce, Excel, Operations","Salesforce, Excel"
Bachelor,3-5 years,Sales Strategy,"Excel, Communication, Customer Support","Salesforce Certified, Excel Advanced",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Excel, Sales Strategy, Communication",Excel
Bachelor,5+ years,"Market Research, Operations","Customer Support, Excel, Accounting, Salesforce, Team Management","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Market Research, Salesforce, Excel, Accounting, Operations, Team Management","Salesforce, Excel"
Bachelor,1-3 years,"Sales Strategy, Accounting","Excel, Team Management, Salesforce, Accounting, Customer Support",Customer Service Expert,Non-IT,Accountant,Customer Service Training,"Customer Support, Sales Strategy, Salesforce, Excel, Accounting, Team Management","Salesforce, Excel"
Master,5+ years,"Operations, Customer Service, Market Research","Excel, Communication, Team Management, Customer Support, Accounting","Excel Advanced, Customer Service Expert",Non-IT,Customer Support Representative,"Advanced Excel Course, Customer Service Training","Customer Support, Customer Service, Market Research, Excel, Accounting, Communication, Operations, Team Management",Excel
Bachelor,1-3 years,"Operations, Customer Service, HR Management","Customer Support, Communication, Team Management, Excel, Accounting",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, HR Management, Excel, Accounting, Communication, Operations, Team Management",Excel
Master,3-5 years,HR Management,"Excel, Customer Support, Communication, Salesforce, Team Management",Excel Advanced,Non-IT,Business Analyst,Advanced Excel Course,"Customer Support, HR Management, Salesforce, Excel, Communication, Team Management","Salesforce, Excel"
Master,5+ years,"HR Management, Market Research, Customer Service","Salesforce, Customer Support, Team Management, Accounting, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Customer Support, Customer Service, Market Research, HR Management, Salesforce, Accounting, Excel, Team Management","Salesforce, Excel"
PhD,3-5 years,"Customer Service, HR Management","Customer Support, Salesforce, Communication",Excel Advanced,Non-IT,Customer Support Representative,Advanced Excel Course,"Customer Support, Customer Service, HR Management, Salesforce, Communication",Salesforce
Master,5+ years,"Accounting, HR Management, Operations","Excel, Salesforce, Accounting, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Excel, Accounting, Operations","Salesforce, Excel"
Bachelor,0-1 years,"Market Research, Operations, Sales Strategy","Excel, Customer Support, Accounting",Customer Service Expert,Non-IT,Operations Manager,Customer Service Training,"Customer Support, Sales Strategy, Market Research, Excel, Accounting, Operations",Excel
Master,1-3 years,"Operations, Accounting","Customer Support, Team Management, Accounting, Communication, Excel","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Accounting, Excel, Communication, Operations, Team Management",Excel
PhD,3-5 years,"Accounting, HR Management, Operations","Excel, Accounting, Customer Support",Salesforce Certified,Non-IT,Accountant,Salesforce Training,"Customer Support, HR Management, Excel, Accounting, Operations",Excel
PhD,5+ years,"Sales Strategy, HR Management","Communication, Salesforce, Customer Support, Accounting, Team Management","Excel Advanced, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Advanced Excel Course","Customer Support, Sales Strategy, HR Management, Salesforce, Accounting, Communication, Team Management",Salesforce
Master,3-5 years,"Sales Strategy, Operations, Accounting","Team Management, Communication, Excel","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Sales Strategy, Accounting, Excel, Communication, Operations, Team Management",Excel
Bachelor,1-3 years,"Operations, HR Management","Salesforce, Excel, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","HR Management, Salesforce, Excel, Communication, Operations","Salesforce, Excel"
Master,3-5 years,"Customer Service, Market Research, Sales Strategy","Salesforce, Accounting, Excel",Customer Service Expert,Non-IT,Customer Support Representative,Customer Service Training,"Sales Strategy, Customer Service, Market Research, Salesforce, Accounting, Excel","Salesforce, Excel"
Master,1-3 years,"HR Management, Accounting","Team Management, Customer Support, Excel, Accounting","Salesforce Certified, Customer Service Expert",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Excel, Accounting, Team Management",Excel
Master,1-3 years,Accounting,"Excel, Communication, Salesforce, Team Management","Excel Advanced, Customer Service Expert",Non-IT,Accountant,"Advanced Excel Course, Customer Service Training","Salesforce, Excel, Accounting, Communication, Team Management","Salesforce, Excel"
Master,1-3 years,"Sales Strategy, HR Management","Customer Support, Accounting, Team Management, Communication","Customer Service Expert, Salesforce Certified",Non-IT,Business Analyst,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, HR Management, Accounting, Communication, Team Management",
Bachelor,1-3 years,"Operations, HR Management","Customer Support, Communication, Salesforce, Team Management","Customer Service Expert, Salesforce Certified",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, HR Management, Salesforce, Communication, Operations, Team Management",Salesforce
PhD,5+ years,"Sales Strategy, Market Research, Operations","Accounting, Customer Support, Communication","Salesforce Certified, Customer Service Expert",Non-IT,Operations Manager,"Salesforce Training, Customer Service Training","Customer Support, Sales Strategy, Market Research, Accounting, Communication, Operations",
Bachelor,0-1 years,"Operations, Accounting, Market Research","Communication, Excel, Customer Support","Customer Service Expert, Salesforce Certified",Non-IT,Accountant,"Salesforce Training, Customer Service Training","Customer Support, Market Research, Excel, Accounting, Communication, Operations",Excel
PhD,1-3 years,"Sales Strategy, Operations, Market Research","Customer Support, Communication, Excel","Excel Advanced, Customer Service Expert",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Customer Support, Sales Strategy, Market Research, Excel, Communication, Operations",Excel
Bachelor,5+ years,"Market Research, Operations, Sales Strategy","Team Management, Excel, Salesforce","Customer Service Expert, Excel Advanced",Non-IT,Operations Manager,"Advanced Excel Course, Customer Service Training","Sales Strategy, Market Research, Salesforce, Excel, Operations, Team Management","Salesforce, Excel"
